County,State,Populaton,Income,Employment Rate,Growth Rate,Land Records,GIS Maps,Zoning,Water,Sewer,Gas,Electricity,Online?,Frequency,Auction Link(s),Next Auction,New Upcoming Auctions
Loudoun County,Virginia,"420,959","$174,148",70.40%,0.81%,https://loudoncounty-tn.gov/register-of-deeds/,"https://logis.loudoun.gov/weblogis/
","https://logis.loudoun.gov/weblogis/
","https://www.loudounwater.org/","https://www.loudounwater.org/
","""http://www.columbiagasva.com/
https://www.washingtongas.com/""
","""https://www.dominionenergy.com/
https://www.novec.com/service.cfm""
","Yes
","Daily","https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC
",Varies,"{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '06/11/2025'}
{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '06/09/2025'}
{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '06/04/2025'}
{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '06/10/2025'}
{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '06/05/2025'}
{'County': 'Loudoun County', 'State': 'Virginia', 'Auction Link(s)': 'https://www.bid4assets.com/search/#t=s|s=730907|sc=bidclosetime|so=ASC', 'Next Auction': '11h 54m'}"
Fairfax County,Virginia,"1,150,309","$141,553",67.10%,0.22%,"https://fairfax-county-public-real-estate-records.govbackgroundchecks.com/
","https://icare.fairfaxcounty.gov/ffxcare/maps/mapadv.aspx
","https://www.fairfaxcounty.gov/planning-development/zoning-ordinance
","https://www.fairfaxwater.org/
","https://www.fairfaxcounty.gov/publicworks/wastewater
","https://www.wgl.com/
","Dominion Virginia Power
",Yes,Varies,"http://www.forsaleatauction.biz/auctions
",Varies,"{'County': 'Fairfax County', 'State': 'Virginia', 'Auction Link(s)': 'http://www.forsaleatauction.biz/auctions', 'Next Auction': '7-15-25'}
{'County': 'Fairfax County', 'State': 'Virginia', 'Auction Link(s)': 'http://www.forsaleatauction.biz/auctions', 'Next Auction': '7-18-25'}
{'County': 'Fairfax County', 'State': 'Virginia', 'Auction Link(s)': 'http://www.forsaleatauction.biz/auctions', 'Next Auction': '7-01-25'}
{'County': 'Fairfax County', 'State': 'Virginia', 'Auction Link(s)': 'http://www.forsaleatauction.biz/auctions', 'Next Auction': '8-13-25'}"
Arlington County,Virginia,"238,643","$140,219",73.90%,0.21%,https://apps.smcacre.org/recorderworks/,https://gis.smcgov.org/Html5Viewer/?viewer=raster,https://www.smcgov.org/media/153285/download?inline=,https://www.calwater.com/,https://svcw.org/,https://www.pge.com/,https://www.pge.com/,Yes,Varies,"https://m.publicsurplus.com/sms/sanmateo,ca/list/current?orgid=15005",Varies,
Forsyth County,Georgia,"251,283","$134,821",67.10%,2.00%,https://forsythdeeds.com/forsythNameSearch.php?Accept=Accept,https://www.forsyth.cc/Tax/mapping.aspx,https://geo-forsythcoga.opendata.arcgis.com/datasets/zoning-districts/explore,https://www.forsythco.com/Departments-Offices/Water-Sewer,https://www.forsythco.com/Departments-Offices/Water-Sewer,https://www.atlantagaslight.com/,https://www.duke-energy.com/,Yes,Varies,https://www.forsyth.cc/Tax/foreclosure_prop.aspx,Varies ,
Stafford County,Virginia,"156,927","$134,619",64.90%,2.60%,https://va-stafford-assessor.publicaccessnow.com/propertysearch.aspx,coclerk@staffordcounty.org,https://www.staffordcounty.org/planning--zoning.html,https://staffordcountyva.gov/government/elected_and_appointed_officials/treasurer/taxes_search_view___pay/water___sewer.php,https://staffordcountyva.gov/government/elected_and_appointed_officials/treasurer/taxes_search_view___pay/water___sewer.php,https://www.virginianaturalgas.com/,https://www.dominionenergy.com/,Yes,Varies,https://bid.forsaleatauction.biz/ui/auctions/91871,Varies,"{'County': 'Stafford County', 'State': 'Virginia', 'Auction Link(s)': 'https://bid.forsaleatauction.biz/ui/auctions/91871', 'Next Auction': '23h 43m'}
{'County': 'Stafford County', 'State': 'Virginia', 'Auction Link(s)': 'https://bid.forsaleatauction.biz/ui/auctions/91871', 'Next Auction': '48-5-10'}"
Williamson County,Tennessee,"247,726","$133,990",65.80%,1.39%,https://archives.williamsoncounty-tn.gov/indexes/search,https://williamsoncounty-tn.gov/371/Maps,https://www.williamsoncounty-tn.gov/DocumentCenter/View/4139/2021-Official-Zoning-Map_36x48?bidId=,https://brazos.org/,https://wtcmud1.org/,https://www.texasgasservice.com/,https://www.wilcotx.gov/DocumentCenter/View/9095/Wilco-Utilities-Contact-Info-,Yes,Varies,https://iltaxsale.com/new/index.php/county/Williamson/WMS,11/07/2025,
Prince William County,Virginia,"482,204","$131,047",67.00%,0.53%,https://www.pwcva.gov/department/circuit-court/land-records-online,https://www.pwcva.gov/department/gis/county-mapper,https://www.williamsoncounty-tn.gov/1376/Zoning,https://princewilliamwater.org/,https://princewilliamwater.org/,https://www.washingtongas.com/services/contractors/service-territory,https://www.novec.com/,Yes,Varies,https://taxva.com/real-estate-tax-sales/,Varies,"{'County': 'Prince William County', 'State': 'Virginia', 'Auction Link(s)': 'https://taxva.com/real-estate-tax-sales/', 'Next Auction': '6/03/2025'}
{'County': 'Prince William County', 'State': 'Virginia', 'Auction Link(s)': 'https://taxva.com/real-estate-tax-sales/', 'Next Auction': '6/12/2025'}
{'County': 'Prince William County', 'State': 'Virginia', 'Auction Link(s)': 'https://taxva.com/real-estate-tax-sales/', 'Next Auction': '6/09/2025'}"
Carver County,Minnesota,"106,922","$129,581",72.80%,1%,https://gis.co.carver.mn.us/platsearch/,"recorder@carvercountymn.gov
(952) 361-1930",https://www.carvercountymn.gov/departments/public-services/land-management/zoning,https://www.cityofcarver.com/,https://www.cityofcarver.com/,https://www.cityofcarver.com/,https://corporate.my.xcelenergy.com/,No,recorder@carvercountymn.gov,recorder@carvercountymn.gov,recorder@carvercountymn.gov,
Delaware County,Ohio,"214,124","$126,513",67.60%,2.16%,https://delaware.pa.publicsearch.us/,https://maps-delcogis.opendata.arcgis.com/,https://delawarecountyzoning.iowa.gov/,https://delcowater.org/,https://www.delcora.org/,https://sngco.com/,https://dce.coop/,Yes,Last Updated 07/17/2023,https://www.delcony.us/departments/delq/county_owned.htm,Last Updated 07/17/2023,
Norfolk County,Massachusetts,"725,981","$123,903",66.60%,0.27%,https://www.norfolkresearch.org/ALIS/WW400R.HTM?WSIQTP=SY00,https://www.arcgis.com/apps/webappviewer/index.html?id=c6683057b83744dfb36afb773ba09135,https://www.norfolkcounty.ca/business-building-and-development/planning-and-development/zoning/,https://www.norfolkcounty.ca/home-property-and-neighbourhood/water-and-wastewater/,https://www.norfolkcounty.ca/home-property-and-neighbourhood/water-and-wastewater/,UTBackFlow@norfolk.gov,UTBackFlow@norfolk.gov,Yes,Varies,https://www.vaauctionco.com/auctions/detail/bw115928,06/6/24 to 06/20/24,
